episode,return,length
0,155.90303535768598,1112
1,151.87186504079418,1180
2,153.5428775418855,1106
3,156.10357747741008,1117
4,155.4970794320323,1140
5,149.71843632901928,1117
6,151.17649041606012,1139
7,113.44385072492317,1236
8,148.2053759564954,1148
9,144.16761199287737,1060
10,145.97902475465986,1105
11,129.43076965293616,1115
12,155.9312342476785,1126
13,134.15159383189715,1094
14,154.91828562402725,1099
15,85.25724245916935,1192
16,122.46275210658249,1111
17,142.52131769265344,1072
18,145.0879612975005,1092
19,142.29820497472767,1079
20,126.73530620996479,1076
21,142.9125907828815,1060
22,85.93337283203559,1169
23,141.22226581134956,1051
24,125.56808203223311,1075
25,143.78805033290215,1058
26,139.76452946925878,1095
27,88.83841971718883,1178
28,79.86416274212229,1241
29,88.68825103991688,1255
30,136.59751443002634,1129
31,154.07723015934823,1106
32,145.39777255375876,1097
33,149.1207442663567,1130
34,149.75083488844302,1138
35,155.11635292908184,1139
36,84.94478550450785,1366
37,136.65737711961626,1110
38,153.3997175142962,1065
39,160.76074631324548,1118
40,108.8318731117568,1288
41,144.56747249436435,1118
42,87.97182934630125,1435
