episode,return,length
0,145.9012399269099,225
1,144.59319518423558,216
2,140.7475057264477,222
3,148.42493460200447,224
4,145.78946962629118,219
5,138.62156203453983,231
6,149.67933743371796,219
7,126.97772686126878,212
8,142.51335989144246,234
9,135.00506318913114,195
10,153.92637988664083,203
11,140.8205579291377,210
12,149.79040569389355,225
13,142.52276298156386,210
14,139.46605115537662,201
15,118.31640911043836,257
16,141.12614899754652,210
17,151.7287765644775,211
18,152.70424551712625,229
19,141.84051467653893,216
20,146.9774548544061,223
21,157.79483948407224,209
22,130.48477357325453,247
23,153.24583041976732,208
24,148.24383468564625,215
25,158.7485682074333,204
26,155.40379669740943,213
27,123.38709227194164,273
28,127.67858608834683,285
29,129.5195648909522,266
30,146.04050480111547,218
31,160.23689118960596,205
32,145.81469994742193,213
33,156.8065924110313,215
34,154.37618613162098,208
35,158.4595773891717,217
36,121.22794868243109,250
37,147.37396825449764,207
38,159.862113710619,189
39,161.6305103148563,201
40,136.17880849407973,215
41,152.39140796297835,198
42,120.56742661003567,270
43,151.33133175290848,217
44,154.69278800405965,215
45,154.54627441073214,190
46,156.3901839125568,212
47,162.96392317317634,194
48,152.27712239342145,211
49,136.5294786143948,243
50,155.1624220288754,203
51,153.9115790696452,203
52,127.49830939035819,278
53,167.80472759827427,207
54,155.09584867656946,202
55,132.14231141434078,279
56,160.65049315490865,190
57,136.64074090998767,264
58,149.5983544349572,228
59,152.66920904303032,193
60,156.20931332486467,198
61,153.6553398216795,208
62,153.47237217715298,202
63,128.98805789255334,264
64,141.8073031997942,242
65,149.96397902274245,219
66,161.81519368705443,188
67,161.7557229801321,197
68,161.00620358862136,203
69,155.2022468122406,204
70,144.0145760075357,243
71,166.99184446155192,196
72,157.36669540067734,198
73,154.2115082926253,191
74,160.65054046843892,195
75,164.7934551909736,181
76,154.36813953804946,206
77,163.97736058137846,185
78,155.57772607471017,198
79,162.63463224630968,198
80,137.10651107967067,255
81,162.18083520251935,200
82,155.5586671972407,202
83,158.8141587747314,191
84,158.55948254632332,191
85,157.5184762700332,200
86,154.56316028888517,207
87,153.17437076463088,187
88,158.84673783571023,199
89,151.01125577662526,209
90,160.45415817078785,185
91,159.62109889855915,191
92,163.77867521275542,191
93,153.74908379113447,195
94,158.19643036669038,193
95,159.6436036035964,192
96,155.12231835771524,190
97,154.79649379046987,190
98,160.1214837189485,192
99,159.23184082573408,191
100,155.26436036812896,201
101,159.1313447801914,195
102,163.86329611299269,193
103,157.41217510659473,198
104,153.71495868993026,228
105,144.65835882698846,232
106,157.14994156198918,191
107,157.69982716078195,198
108,164.9599648873449,191
109,160.2899667423672,187
110,161.85718260808886,186
111,162.91819556867154,200
112,157.16723635418649,185
113,160.01663372540736,192
114,154.2165769110863,195
115,157.7285738605236,222
116,160.51546369526062,201
117,152.31215307572845,192
118,160.9688347333924,188
119,163.3608733268524,183
120,162.27684628025509,186
121,149.48805915494663,224
122,166.61792973111542,190
123,163.02198236696321,200
124,161.35288964845657,194
125,157.73844408971587,187
126,166.4193582768505,183
127,160.26884087452274,178
128,159.37077442239007,208
129,161.05804435252685,198
130,153.1600350258406,192
131,162.7699768540431,189
132,158.86703574168453,192
133,162.1194096881272,200
134,165.45974247498856,190
135,165.44914045590946,186
136,163.8399262496729,179
137,166.09730433170867,176
138,163.76018756213745,195
139,164.3810325426495,187
140,147.538024446973,195
141,159.53383656413567,189
142,163.10353767279653,194
143,156.2541990451775,172
144,154.9528906926643,195
145,155.21010279429527,191
146,158.3668771129061,186
147,162.93825639266862,182
148,159.5798285331108,186
149,162.72536410524398,193
150,160.8162994748988,189
151,160.0717258361764,186
152,158.8436693081612,181
153,153.09300328030733,186
154,159.54758666153833,174
155,165.56515930147125,182
156,163.5191546235589,179
157,163.24106173211376,183
158,156.6754875035273,186
159,162.2279731497827,191
160,156.4392409678167,192
161,165.22174407518867,186
162,164.21328020328767,197
163,161.79185503969728,184
164,160.06248712654659,185
165,164.24984236132934,198
166,159.68796720714957,184
167,163.40341580444962,183
168,159.73584328455843,191
169,160.43322828215207,193
170,164.80006635436763,175
171,156.21108045048564,180
172,159.06051746110947,182
